Gender,Customer_Type,Age,Travel_Class,Travel_Distance,Arrival_Delay_in_Mins,Seat_Comfort,Catering,Platform_Location,Onboard_Wifi_Service,Onboard_Entertainment,Online_Support,Ease_of_Online_Booking,Onboard_Service,Legroom,Baggage_Handling,CheckIn_Service,Cleanliness,Online_Boarding
0,0.0,58.0,0,2320,0.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0
1,0.0,41.0,0,2916,0.0,3.0,3.0,3.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0
1,0.0,47.0,0,1522,0.0,2.0,2.8503023724608467,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0
0,1.0,28.0,0,2333,0.0,5.0,5.0,1.0,2.0,5.0,2.0,2.0,5.0,4.0,3.0,5.0,4.0,2.0
0,0.0,52.0,0,1057,0.0,4.0,2.8503023724608467,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1,0.0,47.0,0,2045,0.0,2.0,3.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0
0,0.0,37.0,0,3151,10.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0
0,1.0,23.0,1,1437,0.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,3.0,4.0,2.0
1,0.0,22.0,1,1794,6.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0
1,0.0,41.0,0,508,42.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0
1,1.0,11.0,1,2924,303.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
1,0.0,18.0,1,2063,33.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0
0,1.0,26.0,1,1842,0.0,3.0,2.8503023724608467,4.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0
1,1.0,36.0,0,2013,9.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.4550870760769934,2.0,4.0,3.0,4.0,3.0
0,0.0,52.0,0,2165,0.0,1.0,2.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0
1,0.0,54.0,1,2510,13.0,2.0,1.0,3.0,4.0,1.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0
1,1.0,27.0,0,1697,27.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0
0,0.0,46.0,0,613,30.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
0,0.1821906328563891,46.0,1,2198,0.0,1.0,1.0,1.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0
1,0.0,68.0,1,2519,20.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,5.0,2.0,5.0,3.0,5.0,3.0
0,0.0,15.0,1,1925,4.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0
0,0.0,15.0,1,1700,14.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,1.0
0,1.0,33.0,1,2143,0.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,1.0
0,0.0,28.0,1,1556,0.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,4.0
1,0.0,28.0,0,2640,133.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.4550870760769934,5.0,5.0,4.0,4.0,4.0
1,0.1821906328563891,42.0,1,1777,17.0,3.0,2.8503023724608467,3.0,1.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0
0,0.0,38.0,1,2395,36.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,3.0,5.0,5.0
1,0.1821906328563891,37.0,0,3272,16.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,5.0,4.0,1.0
1,0.0,43.0,1,1195,0.0,1.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0
1,0.0,45.0,0,3189,68.0,1.0,1.0,1.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0
0,0.0,33.0,1,1876,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,5.0,3.0,2.0
0,0.0,40.0,1,1628,7.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,1.0,2.0,3.0
0,0.1821906328563891,43.0,0,1633,1.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
1,0.0,51.0,0,3826,11.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0
0,1.0,26.0,1,1711,0.0,3.0,3.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0
1,0.0,35.0,1,2234,0.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0
1,0.0,53.0,1,2581,0.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,3.0,4.0,2.0,5.0,5.0
0,0.0,47.0,0,3735,5.0,0.0,0.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0
0,0.0,63.0,1,1245,0.0,5.0,5.0,5.0,2.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0
0,0.0,48.0,1,952,2.0,5.0,5.0,1.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0
1,0.0,48.0,0,3863,3.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0
0,0.1821906328563891,45.0,0,262,0.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
1,0.0,57.0,1,3421,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,5.0,4.0,1.0
1,0.0,30.0,0,3291,0.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0
0,0.0,30.0,0,3305,0.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0
1,0.0,41.0,1,1469,0.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0
0,0.1821906328563891,25.0,0,3466,0.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,2.0,3.0,3.0,4.0,5.0
0,0.0,40.0,0,2088,0.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0
1,0.0,20.0,1,1474,0.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.4550870760769934,4.0,5.0,4.0,5.0,4.0
0,1.0,27.0,1,1830,0.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,2.0,5.0,4.0,1.0,3.0,5.0
1,0.0,10.0,1,1280,19.0,3.0,2.8503023724608467,3.0,2.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0
1,0.0,57.0,0,3292,0.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
0,0.0,31.0,0,5069,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.4550870760769934,3.0,5.0,3.0,5.0,4.0
0,0.0,57.0,1,1745,4.0,3.0,2.8503023724608467,5.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
1,0.0,50.0,1,2215,24.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0
1,0.0,7.0,1,1667,25.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0
0,1.0,27.0,1,1959,15.308802390146283,1.0,1.0,3.0,4.0,1.0,1.0,4.0,5.0,3.0,2.0,3.0,2.0,4.0
1,0.0,69.0,1,1643,34.0,2.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,5.0,4.0
1,0.0,32.0,0,1868,0.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0
0,1.0,39.0,0,1656,3.0,3.0,2.8503023724608467,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0
1,1.0,48.0,1,2287,25.0,2.0,2.0,4.0,5.0,2.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,5.0
1,0.0,56.0,0,2938,0.0,5.0,2.8503023724608467,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0
0,1.0,21.0,1,2700,29.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,1.0,4.0,5.0
0,0.0,47.0,0,2767,184.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0
1,0.0,52.0,1,2635,33.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0
0,0.1821906328563891,45.0,0,2663,0.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
1,1.0,10.0,1,3042,0.0,3.0,2.8503023724608467,2.0,1.0,3.0,1.0,1.0,5.0,2.0,4.0,4.0,5.0,1.0
0,0.0,60.0,0,2329,0.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0
1,0.0,46.0,1,1442,0.0,3.0,0.0,4.0,2.0,0.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0
0,0.0,52.0,0,3432,0.0,2.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0
0,0.0,43.0,0,2146,13.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0
1,0.0,47.0,0,355,59.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
1,0.0,65.0,1,2317,0.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,1.0,3.0,4.0
0,0.0,43.0,1,816,3.0,3.0,1.0,1.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
0,1.0,22.0,0,2664,0.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0
1,0.0,43.0,0,2838,0.0,1.0,1.0,1.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
0,0.0,43.0,0,2746,10.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0
0,0.0,70.0,1,700,0.0,5.0,1.0,4.0,5.0,2.0,1.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0
0,0.0,49.0,0,1045,16.0,4.0,4.0,4.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0
1,0.0,38.0,1,2351,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0,4.0,5.0,4.0,5.0
0,0.0,26.0,0,3230,9.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0
1,0.0,59.0,0,3615,0.0,0.0,0.0,2.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
1,0.0,7.0,1,2079,36.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,5.0,2.0,4.0,1.0,3.0
0,0.0,22.0,0,1655,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0
1,1.0,45.0,1,1586,0.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,2.0
1,0.0,43.0,0,505,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0
1,0.0,49.0,1,1916,0.0,2.0,2.0,1.0,5.0,2.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0
0,0.0,42.0,0,503,0.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0
0,0.0,42.0,0,1889,35.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1,0.1821906328563891,16.0,1,1497,51.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,5.0,4.0
1,1.0,24.0,0,2486,13.0,5.0,5.0,2.0,3.0,5.0,3.0,3.0,4.0,2.0,4.0,5.0,5.0,3.0
1,0.0,21.0,1,2216,0.0,2.0,2.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,4.0,2.0,2.0,5.0
0,0.0,42.0,1,994,0.0,3.0,3.0,4.0,5.0,5.0,5.0,1.0,1.0,3.0,1.0,5.0,1.0,3.0
1,0.1821906328563891,43.0,0,2926,0.0,0.0,0.0,3.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0
0,0.0,46.0,1,614,0.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0
1,0.0,45.0,1,2067,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,1.0
0,0.0,65.0,1,545,0.0,2.0,2.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,2.0,5.0,1.0
1,0.0,40.0,0,2137,0.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
0,0.0,35.0,1,1618,0.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0
0,0.0,36.0,1,2088,11.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,3.4550870760769934,1.0,5.0,4.0,5.0,2.0
1,0.0,57.0,0,2672,0.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
0,1.0,20.0,1,1624,0.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,1.0
0,1.0,23.0,1,2564,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,2.0,4.0
1,0.0,41.0,0,684,0.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1,0.0,56.0,1,2002,70.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0
0,0.0,46.0,1,861,12.0,1.0,4.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0
1,0.0,14.0,1,2058,0.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,5.0,4.0,3.0,4.0,4.0,1.0
0,0.0,55.0,1,104,34.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0
0,1.0,22.0,0,2106,8.0,5.0,5.0,3.0,2.0,5.0,2.0,2.0,3.0,2.0,5.0,4.0,4.0,2.0
0,0.0,55.0,0,408,0.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0
1,1.0,21.0,0,2464,336.0,0.0,0.0,4.0,0.0,5.0,1.0,5.0,5.0,5.0,4.0,1.0,3.0,1.0
0,1.0,10.0,0,2193,2.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,3.0,3.0,5.0,3.0,5.0,1.0
1,0.0,25.0,1,1560,0.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,5.0,3.0,5.0,1.0
1,0.0,29.0,1,2198,85.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0
1,1.0,36.0,1,1872,22.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,4.0,1.0
0,0.0,62.0,1,440,9.0,5.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0
1,0.0,40.0,1,1366,7.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,3.0,1.0
1,0.0,59.0,0,852,0.0,1.0,1.0,1.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0
0,0.0,52.0,0,1639,106.0,4.0,2.8503023724608467,4.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0
